term,date,volume
attention economy,2023-10-01,0.598
attention economy,2023-10-02,0.54
attention economy,2023-10-03,0.457
attention economy,2023-10-04,0.4644
attention economy,2023-10-05,0.4783
attention economy,2023-10-06,0.5373
attention economy,2023-10-07,0.5699
attention economy,2023-10-08,0.5702
attention economy,2023-10-09,0.6907
attention economy,2023-10-10,0.6966
attention economy,2023-10-11,0.6366
attention economy,2023-10-12,0.654
attention economy,2023-10-13,0.6713
attention economy,2023-10-14,0.6739
attention economy,2023-10-15,0.6054
attention economy,2023-10-16,0.7733
attention economy,2023-10-17,0.7201
attention economy,2023-10-18,0.6621
attention economy,2023-10-19,0.7069
attention economy,2023-10-20,0.7053
attention economy,2023-10-21,0.5957
attention economy,2023-10-22,0.6896
attention economy,2023-10-23,0.5797
attention economy,2023-10-24,0.68
attention economy,2023-10-25,0.701
attention economy,2023-10-26,0.6924
attention economy,2023-10-27,0.6483
attention economy,2023-10-28,0.6501
attention economy,2023-10-29,0.5737
attention economy,2023-10-30,0.7724
attention economy,2023-10-31,0.8144
attention economy,2023-11-01,0.7491
attention economy,2023-11-02,0.6267
attention economy,2023-11-03,0.7165
attention economy,2023-11-04,0.6255
attention economy,2023-11-05,0.769
attention economy,2023-11-06,0.722
attention economy,2023-11-07,0.7032
attention economy,2023-11-08,0.6915
attention economy,2023-11-09,0.6998
attention economy,2023-11-10,0.7963
attention economy,2023-11-11,0.6919
attention economy,2023-11-12,0.6418
attention economy,2023-11-13,0.8386
attention economy,2023-11-14,0.8164
attention economy,2023-11-15,0.7275
attention economy,2023-11-16,0.7148
attention economy,2023-11-17,0.5996
attention economy,2023-11-18,0.6905
attention economy,2023-11-19,0.7871
attention economy,2023-11-20,0.8925
attention economy,2023-11-21,0.6963
attention economy,2023-11-22,0.6447
attention economy,2023-11-23,0.6665
attention economy,2023-11-24,0.6707
attention economy,2023-11-25,0.5973
attention economy,2023-11-26,0.5674
attention economy,2023-11-27,0.7096
attention economy,2023-11-28,0.7611
attention economy,2023-11-29,0.7153
attention economy,2023-11-30,0.6973
attention economy,2023-12-01,0.8244
attention economy,2023-12-02,0.5746
attention economy,2023-12-03,0.5564
attention economy,2023-12-04,0.7949
attention economy,2023-12-05,0.8282
attention economy,2023-12-06,0.7091
attention economy,2023-12-07,0.6297
attention economy,2023-12-08,0.7449
attention economy,2023-12-09,0.6914
attention economy,2023-12-10,0.7394
attention economy,2023-12-11,0.78
attention economy,2023-12-12,0.6809
attention economy,2023-12-13,0.7503
attention economy,2023-12-14,0.7581
attention economy,2023-12-15,0.6761
attention economy,2023-12-16,0.6469
attention economy,2023-12-17,0.6973
attention economy,2023-12-18,0.6708
attention economy,2023-12-19,0.7172
attention economy,2023-12-20,0.7218
attention economy,2023-12-21,0.5968
attention economy,2023-12-22,0.6087
attention economy,2023-12-23,0.6801
attention economy,2023-12-24,0.5515
attention economy,2023-12-25,0.9054
attention economy,2023-12-26,0.7174
attention economy,2023-12-27,0.7307
attention economy,2023-12-28,0.6677
attention economy,2023-12-29,0.7917
attention economy,2023-12-30,0.648
attention economy,2023-12-31,0.7922
attention economy,2024-01-01,0.7703
attention economy,2024-01-02,0.737
attention economy,2024-01-03,0.6867
attention economy,2024-01-04,0.7232
attention economy,2024-01-05,0.599
attention economy,2024-01-06,0.5329
attention economy,2024-01-07,0.4938
attention economy,2024-01-08,0.7038
attention economy,2024-01-09,0.5668
attention economy,2024-01-10,0.7523
attention economy,2024-01-11,0.667
attention economy,2024-01-12,0.7397
attention economy,2024-01-13,0.6337
attention economy,2024-01-14,0.5801
attention economy,2024-01-15,0.6907
attention economy,2024-01-16,0.6681
attention economy,2024-01-17,0.7277
attention economy,2024-01-18,0.6116
attention economy,2024-01-19,0.6211
attention economy,2024-01-20,0.4591
attention economy,2024-01-21,0.6322
attention economy,2024-01-22,0.5602
attention economy,2024-01-23,0.4927
attention economy,2024-01-24,0.6217
attention economy,2024-01-25,0.7222
attention economy,2024-01-26,0.7071
attention economy,2024-01-27,0.4799
attention economy,2024-01-28,0.5479
attention economy,2024-01-29,0.6051
attention economy,2024-01-30,0.6446
attention economy,2024-01-31,0.6668
attention economy,2024-02-01,0.6419
attention economy,2024-02-02,0.6395
attention economy,2024-02-03,0.5474
attention economy,2024-02-04,0.5567
attention economy,2024-02-05,0.6843
attention economy,2024-02-06,0.6307
attention economy,2024-02-07,0.6249
attention economy,2024-02-08,0.4802
attention economy,2024-02-09,0.4525
attention economy,2024-02-10,0.3872
attention economy,2024-02-11,0.4334
attention economy,2024-02-12,0.426
attention economy,2024-02-13,0.422
attention economy,2024-02-14,0.3486
attention economy,2024-02-15,0.4176
