label,term,cluster,total_count,top_gif_url,top_gif_preview,top_gif_title
Gaza,gaza,conflict,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3Yxa296eXF3cHoyYmU0N3R5b3Q5em4zMXg4cWppdTAzZjN4MDZmaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lzlaLAhc4KhsuCt6fy/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3Yxa296eXF3cHoyYmU0N3R5b3Q5em4zMXg4cWppdTAzZjN4MDZmaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lzlaLAhc4KhsuCt6fy/200w_s.gif,War Israel GIF by The Guardian
War,war,conflict,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZGw3ejR4cmRxdWkzNTd3bHpvMmUzdDM2NG8zZW85Y3pvNmhoNXRpZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/2z6x8UzzCdBBu/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZGw3ejR4cmRxdWkzNTd3bHpvMmUzdDM2NG8zZW85Y3pvNmhoNXRpZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/2z6x8UzzCdBBu/200w_s.gif,war GIF
Protest,protest,conflict,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dDF5ZWg4eW5qZWo0Z205ZXN5cDNqbGRwc2Y1bDVxbzdqbzNhczlvcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZMf8ngW0f8xaij3eai/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dDF5ZWg4eW5qZWo0Z205ZXN5cDNqbGRwc2Y1bDVxbzdqbzNhczlvcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZMf8ngW0f8xaij3eai/200w_s.gif,Organize Human Rights GIF by Creative Courage
Ceasefire,ceasefire,conflict,180,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3B1ZTl3amltejg2aWdkNHd0bnlmNDRrZWhhMnJ2aHk2ZTV2ZDNzYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JayzHUJ7Cw2jiVajoz/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3B1ZTl3amltejg2aWdkNHd0bnlmNDRrZWhhMnJ2aHk2ZTV2ZDNzYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JayzHUJ7Cw2jiVajoz/200w_s.gif,Freedom Palestine GIF
Refugee,refugee,conflict,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ODcycDdiMjBncXg1NW94MW5raHJzMDN3dTJlZHJsYTF1aXR4dnl6bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/N6mg8LlMXDx5e/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ODcycDdiMjBncXg1NW94MW5raHJzMDN3dTJlZHJsYTF1aXR4dnl6bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/N6mg8LlMXDx5e/200w_s.gif,syrian refugees news GIF
TikTok,tiktok,platform,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eDJkc3psZzFncXBrYnowaTlhaXI5bDI5cXk2bXo0MW90Y2I3MDk2bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/43wR1f8QU9KApWKjYt/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eDJkc3psZzFncXBrYnowaTlhaXI5bDI5cXk2bXo0MW90Y2I3MDk2bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/43wR1f8QU9KApWKjYt/200w_s.gif,Stantwitter Please GIF
Instagram,instagram,platform,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bzNnaWIydXNhcHg1cG0yYnhyZnhkZTFjNzV5MWdqdG8xaDk3dTVtZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/siDt3kPh2btNhpWAq1/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bzNnaWIydXNhcHg1cG0yYnhyZnhkZTFjNzV5MWdqdG8xaDk3dTVtZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/siDt3kPh2btNhpWAq1/200w_s.gif,Charlie Kirk Instagram GIF
YouTube,youtube,platform,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YXM2MXo5Y3AxdDQ4NWp6cGg3cTdsd2Zwd2wzZzVyN3ZnMDhsOTF3YiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/TytHun5lKuMdzUYVxl/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YXM2MXo5Y3AxdDQ4NWp6cGg3cTdsd2Zwd2wzZzVyN3ZnMDhsOTF3YiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/TytHun5lKuMdzUYVxl/200w_s.gif,Youtube Subscribe GIF by Alexander White
Twitter,twitter,platform,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZXFvMmkybmowdWxjaWV4cmdjcGxmbzcwcnVzcWgyYzZ3YXFqcGU4ciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/epg6OTkQ8Gn1S/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZXFvMmkybmowdWxjaWV4cmdjcGxmbzcwcnVzcWgyYzZ3YXFqcGU4ciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/epg6OTkQ8Gn1S/200w_s.gif,twitter relax GIF
Social Media,social media,platform,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dnhtazYxcWFld2lia2dpZmdraHI3NnJoOGZmM3FtNDllcHc1cngxOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/MZPAI5zR9B1YJoz9Jw/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dnhtazYxcWFld2lia2dpZmdraHI3NnJoOGZmM3FtNDllcHc1cngxOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/MZPAI5zR9B1YJoz9Jw/200w_s.gif,
