article,date,views
Attention_economy,2023-10-01,155
Attention_economy,2023-10-02,175
Attention_economy,2023-10-03,221
Attention_economy,2023-10-04,220
Attention_economy,2023-10-05,225
Attention_economy,2023-10-06,174
Attention_economy,2023-10-07,162
Attention_economy,2023-10-08,164
Attention_economy,2023-10-09,245
Attention_economy,2023-10-10,240
Attention_economy,2023-10-11,216
Attention_economy,2023-10-12,210
Attention_economy,2023-10-13,247
Attention_economy,2023-10-14,167
Attention_economy,2023-10-15,214
Attention_economy,2023-10-16,201
Attention_economy,2023-10-17,222
Attention_economy,2023-10-18,265
Attention_economy,2023-10-19,268
Attention_economy,2023-10-20,200
Attention_economy,2023-10-21,182
Attention_economy,2023-10-22,154
Attention_economy,2023-10-23,214
Attention_economy,2023-10-24,224
Attention_economy,2023-10-25,236
Attention_economy,2023-10-26,311
Attention_economy,2023-10-27,189
Attention_economy,2023-10-28,132
Attention_economy,2023-10-29,174
Attention_economy,2023-10-30,187
Attention_economy,2023-10-31,234
Attention_economy,2023-11-01,235
Attention_economy,2023-11-02,230
Attention_economy,2023-11-03,210
Attention_economy,2023-11-04,232
Attention_economy,2023-11-05,215
Attention_economy,2023-11-06,221
Attention_economy,2023-11-07,215
Attention_economy,2023-11-08,233
Attention_economy,2023-11-09,243
Attention_economy,2023-11-10,190
Attention_economy,2023-11-11,181
Attention_economy,2023-11-12,166
Attention_economy,2023-11-13,221
Attention_economy,2023-11-14,240
Attention_economy,2023-11-15,194
Attention_economy,2023-11-16,259
Attention_economy,2023-11-17,176
Attention_economy,2023-11-18,140
Attention_economy,2023-11-19,184
Attention_economy,2023-11-20,241
Attention_economy,2023-11-21,238
Attention_economy,2023-11-22,241
Attention_economy,2023-11-23,192
Attention_economy,2023-11-24,161
Attention_economy,2023-11-25,156
Attention_economy,2023-11-26,161
Attention_economy,2023-11-27,245
Attention_economy,2023-11-28,196
Attention_economy,2023-11-29,271
Attention_economy,2023-11-30,221
Attention_economy,2023-12-01,208
Attention_economy,2023-12-02,185
Attention_economy,2023-12-03,203
Attention_economy,2023-12-04,216
Attention_economy,2023-12-05,201
Attention_economy,2023-12-06,214
Attention_economy,2023-12-07,180
Attention_economy,2023-12-08,179
Attention_economy,2023-12-09,163
Attention_economy,2023-12-10,198
Attention_economy,2023-12-11,194
Attention_economy,2023-12-12,180
Attention_economy,2023-12-13,228
Attention_economy,2023-12-14,211
Attention_economy,2023-12-15,197
Attention_economy,2023-12-16,164
Attention_economy,2023-12-17,172
Attention_economy,2023-12-18,238
Attention_economy,2023-12-19,155
Attention_economy,2023-12-20,181
Attention_economy,2023-12-21,144
Attention_economy,2023-12-22,143
Attention_economy,2023-12-23,144
Attention_economy,2023-12-24,141
Attention_economy,2023-12-25,99
Attention_economy,2023-12-26,195
Attention_economy,2023-12-27,165
Attention_economy,2023-12-28,175
Attention_economy,2023-12-29,147
Attention_economy,2023-12-30,180
Attention_economy,2023-12-31,180
Attention_economy,2024-01-01,171
Attention_economy,2024-01-02,186
Attention_economy,2024-01-03,190
Attention_economy,2024-01-04,232
Attention_economy,2024-01-05,428
Attention_economy,2024-01-06,162
Attention_economy,2024-01-07,311
Attention_economy,2024-01-08,254
Attention_economy,2024-01-09,288
Attention_economy,2024-01-10,261
Attention_economy,2024-01-11,243
Attention_economy,2024-01-12,235
Attention_economy,2024-01-13,219
Attention_economy,2024-01-14,213
Attention_economy,2024-01-15,272
Attention_economy,2024-01-16,296
Attention_economy,2024-01-17,272
Attention_economy,2024-01-18,270
Attention_economy,2024-01-19,286
Attention_economy,2024-01-20,181
Attention_economy,2024-01-21,228
Attention_economy,2024-01-22,307
Attention_economy,2024-01-23,259
Attention_economy,2024-01-24,274
Attention_economy,2024-01-25,264
Attention_economy,2024-01-26,219
Attention_economy,2024-01-27,211
Attention_economy,2024-01-28,241
Attention_economy,2024-01-29,270
Attention_economy,2024-01-30,304
Attention_economy,2024-01-31,250
Attention_economy,2024-02-01,248
Attention_economy,2024-02-02,266
Attention_economy,2024-02-03,262
Attention_economy,2024-02-04,226
Attention_economy,2024-02-05,227
Attention_economy,2024-02-06,229
Attention_economy,2024-02-07,250
Attention_economy,2024-02-08,252
Attention_economy,2024-02-09,227
Attention_economy,2024-02-10,197
Attention_economy,2024-02-11,413
Attention_economy,2024-02-12,435
Attention_economy,2024-02-13,243
Attention_economy,2024-02-14,219
Attention_economy,2024-02-15,230
Attention_economy,2024-02-16,168
Attention_economy,2024-02-17,177
Attention_economy,2024-02-18,331
Attention_economy,2024-02-19,234
Attention_economy,2024-02-20,242
Attention_economy,2024-02-21,244
Attention_economy,2024-02-22,247
Attention_economy,2024-02-23,234
Attention_economy,2024-02-24,207
Attention_economy,2024-02-25,159
Attention_economy,2024-02-26,268
Attention_economy,2024-02-27,351
Attention_economy,2024-02-28,255
Attention_economy,2024-02-29,247
Attention_economy,2024-03-01,259
Attention_economy,2024-03-02,160
Attention_economy,2024-03-03,194
Attention_economy,2024-03-04,233
Attention_economy,2024-03-05,257
Attention_economy,2024-03-06,222
Attention_economy,2024-03-07,200
Attention_economy,2024-03-08,195
Attention_economy,2024-03-09,141
Attention_economy,2024-03-10,223
Attention_economy,2024-03-11,225
Attention_economy,2024-03-12,236
Attention_economy,2024-03-13,216
Attention_economy,2024-03-14,270
Attention_economy,2024-03-15,255
Attention_economy,2024-03-16,171
Attention_economy,2024-03-17,183
Attention_economy,2024-03-18,325
Attention_economy,2024-03-19,253
Attention_economy,2024-03-20,233
Attention_economy,2024-03-21,212
Attention_economy,2024-03-22,204
Attention_economy,2024-03-23,195
Attention_economy,2024-03-24,198
Attention_economy,2024-03-25,240
Attention_economy,2024-03-26,298
Attention_economy,2024-03-27,241
Attention_economy,2024-03-28,201
Attention_economy,2024-03-29,178
Attention_economy,2024-03-30,193
Attention_economy,2024-03-31,160
Attention_economy,2024-04-01,197
Attention_economy,2024-04-02,217
Attention_economy,2024-04-03,231
Attention_economy,2024-04-04,245
Attention_economy,2024-04-05,213
Attention_economy,2024-04-06,153
Attention_economy,2024-04-07,186
Attention_economy,2024-04-08,274
Attention_economy,2024-04-09,289
Attention_economy,2024-04-10,247
Attention_economy,2024-04-11,202
Attention_economy,2024-04-12,219
Attention_economy,2024-04-13,174
Attention_economy,2024-04-14,210
Attention_economy,2024-04-15,241
Attention_economy,2024-04-16,347
Attention_economy,2024-04-17,234
Attention_economy,2024-04-18,328
Attention_economy,2024-04-19,272
Attention_economy,2024-04-20,217
Attention_economy,2024-04-21,235
Attention_economy,2024-04-22,241
Attention_economy,2024-04-23,241
Attention_economy,2024-04-24,254
Attention_economy,2024-04-25,243
Attention_economy,2024-04-26,211
Attention_economy,2024-04-27,310
Attention_economy,2024-04-28,194
Attention_economy,2024-04-29,229
Attention_economy,2024-04-30,268
Attention_economy,2024-05-01,261
Attention_economy,2024-05-02,229
Attention_economy,2024-05-03,168
Attention_economy,2024-05-04,131
Attention_economy,2024-05-05,193
Attention_economy,2024-05-06,195
Attention_economy,2024-05-07,219
Attention_economy,2024-05-08,251
Attention_economy,2024-05-09,203
Attention_economy,2024-05-10,226
Attention_economy,2024-05-11,179
Attention_economy,2024-05-12,192
Attention_economy,2024-05-13,227
Attention_economy,2024-05-14,245
Attention_economy,2024-05-15,271
Attention_economy,2024-05-16,281
Attention_economy,2024-05-17,182
Attention_economy,2024-05-18,126
Attention_economy,2024-05-19,222
Attention_economy,2024-05-20,222
Attention_economy,2024-05-21,250
Attention_economy,2024-05-22,217
Attention_economy,2024-05-23,205
Attention_economy,2024-05-24,182
Attention_economy,2024-05-25,132
Attention_economy,2024-05-26,184
Attention_economy,2024-05-27,216
Attention_economy,2024-05-28,236
Attention_economy,2024-05-29,181
Attention_economy,2024-05-30,204
Attention_economy,2024-05-31,182
Attention_economy,2024-06-01,158
Attention_economy,2024-06-02,213
Attention_economy,2024-06-03,210
Attention_economy,2024-06-04,209
Attention_economy,2024-06-05,218
Attention_economy,2024-06-06,221
Attention_economy,2024-06-07,212
Attention_economy,2024-06-08,198
Attention_economy,2024-06-09,197
Attention_economy,2024-06-10,224
Attention_economy,2024-06-11,235
Attention_economy,2024-06-12,264
Attention_economy,2024-06-13,200
Attention_economy,2024-06-14,190
Attention_economy,2024-06-15,145
Attention_economy,2024-06-16,141
Attention_economy,2024-06-17,198
Attention_economy,2024-06-18,211
Attention_economy,2024-06-19,185
Attention_economy,2024-06-20,185
Attention_economy,2024-06-21,166
Attention_economy,2024-06-22,145
Attention_economy,2024-06-23,136
Attention_economy,2024-06-24,264
Attention_economy,2024-06-25,247
Attention_economy,2024-06-26,238
Attention_economy,2024-06-27,530
Attention_economy,2024-06-28,245
Attention_economy,2024-06-29,173
Attention_economy,2024-06-30,231
Attention_economy,2024-07-01,230
Attention_economy,2024-07-02,249
Attention_economy,2024-07-03,180
Attention_economy,2024-07-04,199
Attention_economy,2024-07-05,162
Attention_economy,2024-07-06,167
Attention_economy,2024-07-07,130
Attention_economy,2024-07-08,256
Attention_economy,2024-07-09,217
Attention_economy,2024-07-10,195
Attention_economy,2024-07-11,267
Attention_economy,2024-07-12,195
Attention_economy,2024-07-13,144
Attention_economy,2024-07-14,174
Attention_economy,2024-07-15,307
Attention_economy,2024-07-16,177
Attention_economy,2024-07-17,278
Attention_economy,2024-07-18,170
Attention_economy,2024-07-19,170
Attention_economy,2024-07-20,144
Attention_economy,2024-07-21,106
Attention_economy,2024-07-22,215
Attention_economy,2024-07-23,204
Attention_economy,2024-07-24,186
Attention_economy,2024-07-25,179
Attention_economy,2024-07-26,158
Attention_economy,2024-07-27,201
Attention_economy,2024-07-28,175
Attention_economy,2024-07-29,221
Attention_economy,2024-07-30,210
Attention_economy,2024-07-31,239
Attention_economy,2024-08-01,253
Attention_economy,2024-08-02,153
Attention_economy,2024-08-03,211
